location,India,India,India
lat,13.55991,13.55991,13.55991
lon,-88.79427,-88.79427,-88.79427
asl,451.457,451.457,451.457
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,India Temperature [2 m elevation corrected],India Temperature [2 m elevation corrected],India Temperature [2 m elevation corrected]
20220710T0000,29.847973,21.127972,25.518806
20220711T0000,27.277971,22.777971,24.639635
20220712T0000,28.287971,22.147972,24.880888
20220713T0000,27.607971,22.157972,24.42672
20220714T0000,27.037971,21.807972,24.065887
20220715T0000,29.627972,21.337973,25.680885
20220716T0000,28.407972,22.427973,25.491304
20220717T0000,29.537971,22.017971,25.748804
20220718T0000,30.937971,22.907972,26.53547
20220719T0000,29.977972,24.147972,26.63672
20220720T0000,31.077972,22.537971,26.472971
20220721T0000,29.897972,23.157972,25.954641
20220722T0000,27.167973,21.507973,24.094221
20220723T0000,29.797972,22.447971,25.238806
20220724T0000,30.067972,20.757973,25.13297
